seed,severity,condition,mode,missing_count,missing_accuracy,macro_object_accuracy,worst_object_accuracy,missing_brier,missing_ece,cross_object_leakage_rate,outside_hallucination_rate
5,standard,corrupt,global_scene_memory,147,0.48299319727891155,0.4856792144026187,0.40384615384615385,0.11888797901113628,0.22257519912397744,0.11152153277701184,0
5,standard,corrupt,object_separated_memory,147,0.6530612244897959,0.6559033460629206,0.5576923076923077,0.08464182693279965,0.1292482853926003,0.0784721434131351,0
5,standard,corrupt,object_contour_memory,147,0.6394557823129252,0.6418667030369157,0.5576923076923077,0.07914537921799651,0.11707917451719702,0.07641381584542874,0
5,standard,corrupt,shuffled_object_memory_control,147,0,0,0,0.27607250273502476,0.747071414669137,0.9852146858843776,0
5,standard,corrupt,oracle,147,1,1,1,0,0,0,0
5,hard,clean,present_only,237,0.5189873417721519,0.5184552289815447,0.5064935064935064,0.08321975506507329,0.003403349598262273,0,0
5,hard,clean,global_scene_memory,237,0.4978902953586498,0.4936963621174147,0.38961038961038963,0.10760774031882755,0.18919356782116448,0.06006191561029746,0
5,hard,clean,object_separated_memory,237,0.7805907172995781,0.781309333940913,0.7619047619047619,0.05673709937478608,0.10758636413927453,0.03079623629759662,0
5,hard,clean,object_contour_memory,237,0.7805907172995781,0.7801701222753855,0.7402597402597403,0.053691792374697116,0.068301531173251,0.025984626740384265,0
5,hard,clean,shuffled_object_memory_control,237,0,0,0,0.29581618316463765,0.8443982323952008,0.9843922792623137,0
5,hard,clean,oracle,237,1,1,1,0,0,0,0
5,hard,corrupt,present_only,237,0.5189873417721519,0.5184552289815447,0.5064935064935064,0.08321975506507329,0.003403349598262273,0,0
5,hard,corrupt,global_scene_memory,237,0.41350210970464135,0.4100972127287917,0.3157894736842105,0.12015528926725881,0.23614589363554545,0.16014891918817395,0
5,hard,corrupt,object_separated_memory,237,0.5738396624472574,0.572738664843928,0.5526315789473685,0.09766918289433844,0.16364499594480436,0.12770476244455986,0
5,hard,corrupt,object_contour_memory,237,0.5822784810126582,0.580675172780436,0.5526315789473685,0.08958972600526438,0.10627181988940425,0.1196342410496685,0
5,hard,corrupt,shuffled_object_memory_control,237,0,0,0,0.2759682691861356,0.7402695592793842,0.9864010698456847,0
5,hard,corrupt,oracle,237,1,1,1,0,0,0,0
5,extreme,clean,present_only,319,0.49216300940438873,0.49166711159163007,0.4519230769230769,0.08458755230055912,0.05745718050065407,0,0
5,extreme,clean,global_scene_memory,319,0.5141065830721003,0.5115541451434216,0.47058823529411764,0.11029372640660161,0.17963774488979534,0.0861016435849261,0
5,extreme,clean,object_separated_memory,319,0.7492163009404389,0.7489777848965772,0.7254901960784313,0.060527766106324765,0.09519190777183598,0.03633940562540196,0
5,extreme,clean,object_contour_memory,319,0.7460815047021944,0.7459650867381217,0.7156862745098039,0.05716561647625728,0.04589956064356246,0.031161023706524495,0
5,extreme,clean,shuffled_object_memory_control,319,0,0,0,0.29464155466441744,0.8389820319222246,0.9847165860219776,0
5,extreme,clean,oracle,319,1,1,1,0,0,0,0
5,extreme,corrupt,present_only,319,0.49216300940438873,0.49166711159163007,0.4519230769230769,0.08458755230055912,0.05745718050065407,0,0
5,extreme,corrupt,global_scene_memory,319,0.4702194357366771,0.46700825780732086,0.4019607843137255,0.11831798805972793,0.20922882816916666,0.1372387801369214,0
5,extreme,corrupt,object_separated_memory,319,0.6206896551724138,0.6197509977442305,0.5882352941176471,0.09238266095691364,0.15466563406354492,0.08997797359854412,0
5,extreme,corrupt,object_contour_memory,319,0.6394984326018809,0.6385969068816544,0.6078431372549019,0.08548292286124086,0.13186606144033228,0.0880061396122573,0
5,extreme,corrupt,shuffled_object_memory_control,319,0,0,0,0.2764597523662893,0.7496281303158034,0.9853797389408177,0
5,extreme,corrupt,oracle,319,1,1,1,0,0,0,0
6,standard,clean,present_only,154,0.4675324675324675,0.46744595274007045,0.45098039215686275,0.08371790269184959,0.04618675736273842,0,0
6,standard,clean,global_scene_memory,154,0.461038961038961,0.4601558572146807,0.2549019607843137,0.11220311851111955,0.1688595347370897,0.16416223376037248,0
6,standard,clean,object_separated_memory,154,0.7467532467532467,0.7468577174459528,0.7307692307692307,0.06791545754251753,0.1431438547061218,0.03783029066485857,0
6,standard,clean,object_contour_memory,154,0.7402597402597403,0.7404474610356964,0.7115384615384616,0.06290600256390348,0.08281733871085076,0.03276494633607337,0
6,standard,clean,shuffled_object_memory_control,154,0,0,0,0.2969091520076172,0.8594530009550102,0.9809607730098144,0
