seed,severity,condition,mode,missing_count,missing_accuracy,missing_soft_iou,missing_brier,missing_ece,outside_hallucination_rate
6,hard,clean,shuffled_memory_control,375,0.368,0.21876843793939008,0.3895097391181977,0.5698595129627793,0
6,hard,clean,oracle,375,1,1,0,0,0
6,hard,corrupt,present_only,375,0.2986666666666667,0.19736839622037214,0.22607058021406445,0.0692425715829274,0
6,hard,corrupt,last_observation,375,0.4533333333333333,0.29267360567441114,0.22180647078207122,0.14044300378173982,0
6,hard,corrupt,decayed_material_memory,375,0.7733333333333333,0.4815259964237757,0.12228680928320862,0.11729133144556939,0
6,hard,corrupt,contour_material_memory,375,0.784,0.4427860709945379,0.1176585943627018,0.13316679557665723,0
6,hard,corrupt,shuffled_memory_control,375,0.3413333333333333,0.2086208212060504,0.32548966804722973,0.41237140572456654,0
6,hard,corrupt,oracle,375,1,1,0,0,0
6,extreme,clean,present_only,491,0.32790224032586557,0.1999141353114734,0.22238083444315024,0.017552305128678503,0
6,extreme,clean,last_observation,491,0.5478615071283096,0.3912120858590266,0.15279663389484274,0.04288094797259687,0
6,extreme,clean,decayed_material_memory,491,0.9877800407331976,0.8657754277530612,0.012269372630493748,0.057284652623297835,0
6,extreme,clean,contour_material_memory,491,0.9898167006109979,0.7571025419381131,0.016838342073788037,0.12654550600800754,0
6,extreme,clean,shuffled_memory_control,491,0.3075356415478615,0.189310846166286,0.41874533441205997,0.6229597465620396,0
6,extreme,clean,oracle,491,1,1,0,0,0
6,extreme,corrupt,present_only,491,0.32790224032586557,0.1999141353114734,0.22238083444315024,0.017552305128678503,0
6,extreme,corrupt,last_observation,491,0.4684317718940937,0.31554458453375006,0.22373010701309654,0.16896870949824036,0
6,extreme,corrupt,decayed_material_memory,491,0.7820773930753564,0.4480644920921218,0.12016337228433323,0.1301201436987523,0
6,extreme,corrupt,contour_material_memory,491,0.7922606924643585,0.41558393882575356,0.11888136387480416,0.1576230206369036,0
6,extreme,corrupt,shuffled_memory_control,491,0.38085539714867617,0.22664542731414436,0.2863110329103426,0.30960369042166946,0
6,extreme,corrupt,oracle,491,1,1,0,0,0
7,standard,clean,present_only,241,0.2821576763485477,0.19857658615494553,0.2235483098242298,0.071242546616891,0
7,standard,clean,last_observation,241,0.5477178423236515,0.37303719631423804,0.15986686811258677,0.03641923053793886,0
7,standard,clean,decayed_material_memory,241,0.970954356846473,0.8440604731846663,0.01965971742777998,0.042771096731813896,0
7,standard,clean,contour_material_memory,241,0.975103734439834,0.7367323157378882,0.023332551088489938,0.11706837019676053,0
7,standard,clean,shuffled_memory_control,241,0.33195020746887965,0.1971014484434396,0.4079916490661066,0.6003880513872513,0
7,standard,clean,oracle,241,1,1,0,0,0
7,standard,corrupt,present_only,241,0.2821576763485477,0.19857658615494553,0.2235483098242298,0.071242546616891,0
7,standard,corrupt,last_observation,241,0.29045643153526973,0.20156851905085835,0.22347770002741132,0.07099275131026735,0
7,standard,corrupt,decayed_material_memory,241,0.8423236514522822,0.46628867584618855,0.09407153480182066,0.20425684269110014,0
7,standard,corrupt,contour_material_memory,241,0.8506224066390041,0.4304716694077037,0.09899150504781953,0.25741232611247344,0
7,standard,corrupt,shuffled_memory_control,241,0.3236514522821577,0.19098140208769956,0.3040085670071883,0.3371684181848195,0
7,standard,corrupt,oracle,241,1,1,0,0,0
7,hard,clean,present_only,378,0.30952380952380953,0.1992750513117109,0.2231892546607506,0.04200107009095949,0
7,hard,clean,last_observation,378,0.5158730158730159,0.36561445938704784,0.16755005948289642,0.0689656636687136,0
7,hard,clean,decayed_material_memory,378,0.9814814814814815,0.8455127918116018,0.01772093529780693,0.05937879940841585,0
7,hard,clean,contour_material_memory,378,0.9841269841269841,0.7404825885306384,0.021977353000507325,0.12692719429114246,0
7,hard,clean,shuffled_memory_control,378,0.328042328042328,0.1954156382174843,0.4104943093265786,0.5993513593217419,0
7,hard,clean,oracle,378,1,1,0,0,0
7,hard,corrupt,present_only,378,0.30952380952380953,0.1992750513117109,0.2231892546607506,0.04200107009095949,0
7,hard,corrupt,last_observation,378,0.5978835978835979,0.4318123080043414,0.2264248786573408,0.29232167273900833,0
7,hard,corrupt,decayed_material_memory,378,0.8174603174603174,0.46842797811192316,0.10049154274590516,0.14763452636551708,0
7,hard,corrupt,contour_material_memory,378,0.8465608465608465,0.43204244157604954,0.1034208220170966,0.21666984548232443,0
7,hard,corrupt,shuffled_memory_control,378,0.3888888888888889,0.22183581268393407,0.2836985868351648,0.2968099180789276,0
7,hard,corrupt,oracle,378,1,1,0,0,0
7,extreme,clean,present_only,495,0.3191919191919192,0.19904410975418996,0.22402446049924346,0.05870011165641009,0
7,extreme,clean,last_observation,495,0.5858585858585859,0.41765002858312733,0.15190604796541915,0.07103944327594727,0
